City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Podor,16.6527,-14.9587,91.35,29,0,4.61,MR,2022-04-03 15:47:37
153,Cockburn Town,21.4612,-71.1419,82.36,69,40,11.5,TC,2022-04-03 15:47:38
154,Vaini,-21.2,-175.2,73.56,100,20,2.3,TO,2022-04-03 15:47:38
155,Morondava,-20.2833,44.2833,81.39,67,0,11.03,MG,2022-04-03 15:46:24
156,Alta Floresta,-9.8756,-56.0861,84.02,74,75,3.44,BR,2022-04-03 15:47:38
157,Nsanje,-16.92,35.262,76.93,90,76,2.89,MW,2022-04-03 15:47:39
158,Portland,45.5234,-122.6762,46.83,86,100,6.91,US,2022-04-03 15:45:07
159,Dao,11.3937,122.6856,76.55,87,78,3.85,PH,2022-04-03 15:47:39
160,Leningradskiy,69.3833,178.4167,-21.77,100,99,3.09,RU,2022-04-03 15:47:39
161,La Rioja,42.25,-2.5,40.78,63,100,12.59,ES,2022-04-03 15:42:49
162,Palana,59.1167,159.9667,19.31,96,100,5.44,RU,2022-04-03 15:47:40
163,Myitkyina,25.3833,97.4,71.82,59,26,1.81,MM,2022-04-03 15:47:40
164,Great Falls,47.5002,-111.3008,42.67,47,0,14.97,US,2022-04-03 15:43:28
165,Iqaluit,63.7506,-68.5145,26.33,86,75,17.27,CA,2022-04-03 15:45:13
166,Codrington,-38.2667,141.9667,59.68,80,95,5.37,AU,2022-04-03 15:45:26
167,Aranda De Duero,41.6704,-3.6892,43.63,39,94,18.21,ES,2022-04-03 15:47:40
168,Tazovskiy,67.4667,78.7,-5.67,100,31,5.5,RU,2022-04-03 15:47:41
169,Khatanga,71.9667,102.5,-23.6,100,99,5.08,RU,2022-04-03 15:47:41
170,Sidi Ali,36.0998,0.4206,52.21,63,100,24.96,DZ,2022-04-03 15:47:41
171,Maragogi,-9.0122,-35.2225,83.48,69,37,11.77,BR,2022-04-03 15:47:42
172,Provideniya,64.3833,-173.3,1.4,74,0,9.17,RU,2022-04-03 15:47:42
173,Nouadhibou,20.931,-17.0347,71.58,64,0,12.66,MR,2022-04-03 15:46:30
174,Mandalgovi,45.7625,106.2708,42.82,19,100,6.96,MN,2022-04-03 15:47:42
175,Meulaboh,4.1363,96.1285,73.94,88,100,6.22,ID,2022-04-03 15:47:43
176,Kikwit,-5.041,18.8162,80.96,74,54,2.95,CD,2022-04-03 15:47:43
177,Fare,-16.7,-151.0167,81.16,77,15,8.68,PF,2022-04-03 15:47:43
178,Cabo San Lucas,22.8909,-109.9124,71.62,68,0,9.22,MX,2022-04-03 15:45:07
179,Ahuimanu,21.4447,-157.8378,73.85,73,40,18.41,US,2022-04-03 15:47:43
180,Namibe,-15.1961,12.1522,73.53,78,96,9.84,AO,2022-04-03 15:47:44
181,San Lorenzo,-25.3333,-57.5333,83.59,65,40,13.0,PY,2022-04-03 15:42:54
182,Sindor,62.8629,51.8905,24.6,95,100,10.02,RU,2022-04-03 15:47:44
183,Westport,41.1415,-73.3579,49.01,76,100,9.22,US,2022-04-03 15:45:02
184,Port Alfred,-33.5906,26.891,73.18,83,56,5.01,ZA,2022-04-03 15:47:44
185,Olafsvik,64.8945,-23.7142,40.75,88,100,10.42,IS,2022-04-03 15:47:45
186,Kruisfontein,-34.0033,24.7314,67.89,72,81,4.79,ZA,2022-04-03 15:45:14
187,Bethel,41.3712,-73.414,48.45,74,100,8.05,US,2022-04-03 15:47:45
188,Lahaina,20.8783,-156.6825,73.81,82,41,12.12,US,2022-04-03 15:47:45
189,Egvekinot,66.3167,-179.1667,-11.81,87,14,18.95,RU,2022-04-03 15:46:12
190,Hilo,19.7297,-155.09,71.26,91,100,10.36,US,2022-04-03 15:47:46
191,Wabana,47.6332,-52.9481,41.38,82,99,23.96,CA,2022-04-03 15:47:46
192,Stornoway,58.2093,-6.3865,49.96,90,100,18.41,GB,2022-04-03 15:47:46
193,Grindavik,63.8424,-22.4338,43.27,87,75,18.41,IS,2022-04-03 15:47:47
194,Lampazos De Naranjo,27.0167,-100.5167,78.28,59,4,9.31,MX,2022-04-03 15:47:47
195,Isangel,-19.55,169.2667,75.31,88,100,3.44,VU,2022-04-03 15:47:47
196,Bakchar,57.0186,82.0711,28.98,97,100,3.0,RU,2022-04-03 15:47:47
197,Batemans Bay,-35.7167,150.1833,64.09,53,34,9.08,AU,2022-04-03 15:47:48
198,Esperance,-33.8667,121.9,64.24,88,100,9.6,AU,2022-04-03 15:45:14
199,Rio Gallegos,-51.6226,-69.2181,53.65,43,40,29.93,AR,2022-04-03 15:47:48
200,Coihueco,-36.6167,-71.8333,56.14,47,0,20.71,CL,2022-04-03 15:45:58
201,Buraydah,26.326,43.975,95.45,8,100,3.58,SA,2022-04-03 15:47:48
202,Palmerston North,-40.35,175.6167,52.05,97,67,1.9,NZ,2022-04-03 15:47:49
203,Ingham,42.6,-84.3833,38.01,88,100,4.61,US,2022-04-03 15:47:49
204,Fort Nelson,58.8053,-122.7002,15.39,79,75,3.44,CA,2022-04-03 15:47:49
205,Andros Town,24.7,-77.7667,80.56,64,14,7.99,BS,2022-04-03 15:47:50
206,Tucson,32.2217,-110.9265,73.38,31,20,6.91,US,2022-04-03 15:46:15
207,East London,-33.0153,27.9116,76.14,78,0,14.97,ZA,2022-04-03 15:47:50
208,Nebolchi,59.1239,33.3454,27.27,90,88,2.1,RU,2022-04-03 15:47:50
209,Haines Junction,60.7522,-137.5108,21.15,93,83,1.14,CA,2022-04-03 15:47:51
210,Newport,51.5877,-2.9984,51.69,57,100,1.99,GB,2022-04-03 15:45:26
211,Makat,47.6469,53.3463,66.72,34,47,3.83,KZ,2022-04-03 15:47:51
212,Uvira,-3.4067,29.1458,76.32,81,28,4.27,CD,2022-04-03 15:47:51
213,Paita,-5.0892,-81.1144,75.22,71,38,12.1,PE,2022-04-03 15:47:52
214,Acapulco,16.8634,-99.8901,82.42,51,5,4.36,MX,2022-04-03 15:47:52
215,Fairbanks,64.8378,-147.7164,10.92,77,40,3.44,US,2022-04-03 15:46:41
216,Katsuura,35.1333,140.3,50.02,70,100,18.86,JP,2022-04-03 15:47:52
217,Kaitangata,-46.2817,169.8464,46.45,95,76,4.99,NZ,2022-04-03 15:45:13
218,Caravelas,-17.7125,-39.2481,85.21,59,8,8.3,BR,2022-04-03 15:47:53
219,Jardim,-21.4803,-56.1381,88.11,51,18,9.35,BR,2022-04-03 15:47:53
220,Mahon,39.8885,4.2658,50.56,53,75,18.41,ES,2022-04-03 15:47:53
221,Ostersund,63.1792,14.6357,34.61,80,0,6.91,SE,2022-04-03 15:47:53
222,Riyadh,24.6877,46.7219,93.34,9,70,9.48,SA,2022-04-03 15:45:21
223,Carnarvon,-24.8667,113.6333,78.87,83,100,12.66,AU,2022-04-03 15:47:54
224,Taltal,-25.4,-70.4833,68.31,66,0,7.58,CL,2022-04-03 15:45:11
225,Ribeira Grande,38.5167,-28.7,64.8,72,40,13.8,PT,2022-04-03 15:47:54
226,Dezhou,37.4486,116.2925,54.1,39,0,11.45,CN,2022-04-03 15:47:54
227,Mogadishu,2.0371,45.3438,81.91,78,78,15.19,SO,2022-04-03 15:47:55
228,Te Anau,-45.4167,167.7167,47.01,82,56,0.4,NZ,2022-04-03 15:47:55
229,Disna,55.568,28.1971,34.39,49,13,6.29,BY,2022-04-03 15:47:55
230,Mahenge,-8.6833,36.7167,67.03,86,67,0.85,TZ,2022-04-03 15:47:56
231,Humaita,-7.5061,-63.0208,86.27,61,96,1.72,BR,2022-04-03 15:47:56
232,Tessalit,20.1986,1.0114,101.25,7,2,6.49,ML,2022-04-03 15:47:56
233,Ladario,-19.0047,-57.6017,84.49,70,20,10.36,BR,2022-04-03 15:47:57
234,Port Blair,11.6667,92.75,82.44,78,40,6.91,IN,2022-04-03 15:47:24
235,Ngunguru,-35.6167,174.5,62.67,88,11,3.31,NZ,2022-04-03 15:47:57
236,Rizhao,35.4275,119.4553,46.63,79,2,6.26,CN,2022-04-03 15:47:57
